ticker,datetime,datetime_int,open,close,high,low,volumn
AAPL,2021-11-18 19:16,1637280960000,157.73,157.67,157.73,157.67,2103
AAPL,2021-11-18 19:17,1637281020000,157.68,157.66,157.68,157.66,1258
AAPL,2021-11-18 19:18,1637281080000,157.65,157.62,157.65,157.62,1181
AAPL,2021-11-18 19:19,1637281140000,157.62,157.64,157.64,157.6,3086
AAPL,2021-11-18 19:20,1637281200000,157.69,157.62,157.69,157.62,878
AAPL,2021-11-18 19:22,1637281320000,157.64,157.64,157.64,157.64,543
AAPL,2021-11-18 19:23,1637281380000,157.6,157.66,157.66,157.6,1251
AAPL,2021-11-18 19:24,1637281440000,157.66,157.66,157.66,157.66,1074
AAPL,2021-11-18 19:26,1637281560000,157.66,157.66,157.66,157.66,216
AAPL,2021-11-18 19:27,1637281620000,157.65,157.58,157.65,157.58,3527
AAPL,2021-11-18 19:29,1637281740000,157.6399,157.64,157.64,157.58,2251
AAPL,2021-11-18 19:30,1637281800000,157.66,157.68,157.68,157.66,1978
AAPL,2021-11-18 19:31,1637281860000,157.64,157.62,157.64,157.62,1694
AAPL,2021-11-18 19:33,1637281980000,157.64,157.65,157.65,157.62,1914
AAPL,2021-11-18 19:34,1637282040000,157.63,157.63,157.63,157.63,245
AAPL,2021-11-18 19:35,1637282100000,157.63,157.62,157.63,157.62,1324
AAPL,2021-11-18 19:36,1637282160000,157.62,157.62,157.62,157.62,520
AAPL,2021-11-18 19:37,1637282220000,157.63,157.63,157.64,157.63,1273
AAPL,2021-11-18 19:38,1637282280000,157.63,157.61,157.63,157.61,616
AAPL,2021-11-18 19:39,1637282340000,157.61,157.64,157.64,157.61,839
AAPL,2021-11-18 19:40,1637282400000,157.61,157.63,157.63,157.6,1773
AAPL,2021-11-18 19:41,1637282460000,157.63,157.61,157.63,157.61,3379
AAPL,2021-11-18 19:42,1637282520000,157.64,157.65,157.65,157.64,537
AAPL,2021-11-18 19:43,1637282580000,157.64,157.64,157.64,157.64,1546
AAPL,2021-11-18 19:45,1637282700000,157.65,157.65,157.65,157.65,453
AAPL,2021-11-18 19:47,1637282820000,157.65,157.66,157.66,157.65,592
AAPL,2021-11-18 19:48,1637282880000,157.65,157.64,157.65,157.64,1026
AAPL,2021-11-18 19:49,1637282940000,157.65,157.66,157.66,157.65,1220
AAPL,2021-11-18 19:50,1637283000000,157.67,157.7,157.7,157.6601,3062
AAPL,2021-11-18 19:52,1637283120000,157.68,157.7,157.7,157.68,2136
AAPL,2021-11-18 19:53,1637283180000,157.68,157.69,157.71,157.68,1261
AAPL,2021-11-18 19:55,1637283300000,157.7,157.7,157.72,157.7,1037
AAPL,2021-11-18 19:56,1637283360000,157.7,157.68,157.7,157.68,1496
AAPL,2021-11-18 19:57,1637283420000,157.69,157.67,157.7,157.67,2094
AAPL,2021-11-18 19:58,1637283480000,157.7,157.66,157.7,157.66,2422
AAPL,2021-11-18 19:59,1637283540000,157.69,157.73,157.7499,157.69,10620
AAPL,2021-11-17 04:00,1637139600000,150.99,151,151,150.99,1139
AAPL,2021-11-17 04:01,1637139660000,150.93,150.93,150.93,150.93,454
AAPL,2021-11-17 04:02,1637139720000,151.03,151.03,151.03,151.03,275
AAPL,2021-11-17 04:04,1637139840000,150.99,150.99,150.99,150.99,797
AAPL,2021-11-17 04:05,1637139900000,151.03,151.03,151.03,151.03,1046
AAPL,2021-11-17 04:06,1637139960000,150.99,150.99,150.99,150.99,292
AAPL,2021-11-17 04:07,1637140020000,150.99,150.99,150.99,150.99,321
AAPL,2021-11-17 04:09,1637140140000,151,151,151,151,657
AAPL,2021-11-17 04:10,1637140200000,151.03,151.03,151.03,151.03,1818
AAPL,2021-11-17 04:20,1637140800000,151.18,151.2,151.2,151.18,1218
AAPL,2021-11-17 04:22,1637140920000,151.27,151.26,151.27,151.26,537
AAPL,2021-11-17 04:23,1637140980000,151.27,151.27,151.27,151.27,629
AAPL,2021-11-17 04:28,1637141280000,151.26,151.26,151.26,151.26,1498
AAPL,2021-11-17 04:38,1637141880000,151.13,151.1,151.13,151.1,978
AAPL,2021-11-17 04:39,1637141940000,151.09,151.09,151.09,151.09,440
AAPL,2021-11-17 04:44,1637142240000,151.09,151.09,151.09,151.09,250
AAPL,2021-11-17 04:49,1637142540000,151.06,151.05,151.06,151.05,678
AAPL,2021-11-17 05:04,1637143440000,151,151,151,151,635
AAPL,2021-11-17 05:16,1637144160000,151.02,151,151.02,151,1031
AAPL,2021-11-17 05:22,1637144520000,150.93,150.93,150.93,150.93,382
AAPL,2021-11-17 05:28,1637144880000,150.92,150.92,150.92,150.92,116
AAPL,2021-11-17 05:38,1637145480000,150.97,150.97,150.97,150.97,187
AAPL,2021-11-17 05:41,1637145660000,150.97,150.97,150.97,150.97,311
AAPL,2021-11-17 05:43,1637145780000,150.97,150.97,150.97,150.97,245
AAPL,2021-11-17 05:47,1637146020000,150.95,150.95,150.95,150.95,553
