,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1958,2021-12-02 20:30:00,166.95394103324634,163.15758616707777,164.1361778080418,166.95394103324634,166.95394103324634,-3.292995867173591,-3.292995867173591,-3.292995867173591,-3.292995867173591,-3.292995867173591,-3.292995867173591,0.0,0.0,0.0,163.66094516607274
1959,2021-12-02 20:31:00,166.9476906763792,163.1777783512608,164.14028045337963,166.9476906763792,166.9476906763792,-3.2830349859394397,-3.2830349859394397,-3.2830349859394397,-3.2830349859394397,-3.2830349859394397,-3.2830349859394397,0.0,0.0,0.0,163.66465569043976
1960,2021-12-02 20:32:00,166.94144031951208,163.1823249907695,164.13473355752444,166.94144031951208,166.94144031951208,-3.272968727393393,-3.272968727393393,-3.272968727393393,-3.272968727393393,-3.272968727393393,-3.272968727393393,0.0,0.0,0.0,163.6684715921187
1961,2021-12-02 20:33:00,166.93518996264496,163.21155508678808,164.13427666987073,166.93518996264496,166.93518996264496,-3.2627990407715726,-3.2627990407715726,-3.2627990407715726,-3.2627990407715726,-3.2627990407715726,-3.2627990407715726,0.0,0.0,0.0,163.6723909218734
1962,2021-12-02 20:34:00,166.92893960577786,163.16797329024584,164.13084745720695,166.92893960577786,166.92893960577786,-3.252527904569867,-3.252527904569867,-3.252527904569867,-3.252527904569867,-3.252527904569867,-3.252527904569867,0.0,0.0,0.0,163.676411701208
1963,2021-12-02 20:35:00,166.92268924891073,163.19608657848278,164.18530461148487,166.92268924891073,166.92268924891073,-3.242157325919439,-3.242157325919439,-3.242157325919439,-3.242157325919439,-3.242157325919439,-3.242157325919439,0.0,0.0,0.0,163.6805319229913
1964,2021-12-02 20:36:00,166.9164388920436,163.20536831351416,164.1570499868702,166.9164388920436,166.9164388920436,-3.231689340650539,-3.231689340650539,-3.231689340650539,-3.231689340650539,-3.231689340650539,-3.231689340650539,0.0,0.0,0.0,163.68474955139305
1965,2021-12-02 20:37:00,166.91018853517647,163.21292222202732,164.1953122849881,166.91018853517647,166.91018853517647,-3.22112601219013,-3.22112601219013,-3.22112601219013,-3.22112601219013,-3.22112601219013,-3.22112601219013,0.0,0.0,0.0,163.68906252298635
1966,2021-12-02 20:38:00,166.90393817830935,163.20277682313608,164.18850561485834,166.90393817830935,166.90393817830935,-3.2104694313737054,-3.2104694313737054,-3.2104694313737054,-3.2104694313737054,-3.2104694313737054,-3.2104694313737054,0.0,0.0,0.0,163.69346874693565
1967,2021-12-02 20:39:00,166.89768782144225,163.2527772443156,164.18754308145705,166.89768782144225,166.89768782144225,-3.1997217162380664,-3.1997217162380664,-3.1997217162380664,-3.1997217162380664,-3.1997217162380664,-3.1997217162380664,0.0,0.0,0.0,163.6979661052042
1968,2021-12-02 20:40:00,166.89143746457512,163.202998150949,164.17701462117165,166.89143746457512,166.89143746457512,-3.18888501094055,-3.18888501094055,-3.18888501094055,-3.18888501094055,-3.18888501094055,-3.18888501094055,0.0,0.0,0.0,163.70255245363458
1969,2021-12-02 20:41:00,166.885187107708,163.20777153938238,164.19279181849404,166.885187107708,166.885187107708,-3.1779614855343388,-3.1779614855343388,-3.1779614855343388,-3.1779614855343388,-3.1779614855343388,-3.1779614855343388,0.0,0.0,0.0,163.70722562217367
1970,2021-12-02 20:42:00,166.87893675084086,163.20031723249733,164.22036757470084,166.87893675084086,166.87893675084086,-3.1669533357241786,-3.1669533357241786,-3.1669533357241786,-3.1669533357241786,-3.1669533357241786,-3.1669533357241786,0.0,0.0,0.0,163.7119834151167
1971,2021-12-02 20:43:00,166.87268639397374,163.2639260766699,164.17263351481463,166.87268639397374,166.87268639397374,-3.155862781669323,-3.155862781669323,-3.155862781669323,-3.155862781669323,-3.155862781669323,-3.155862781669323,0.0,0.0,0.0,163.7168236123044
1972,2021-12-02 20:44:00,166.86643603710664,163.23959291661086,164.2261863123154,166.86643603710664,166.86643603710664,-3.1446920681891046,-3.1446920681891046,-3.1446920681891046,-3.1446920681891046,-3.1446920681891046,-3.1446920681891046,0.0,0.0,0.0,163.72174396891754
1973,2021-12-02 20:45:00,166.8601856802395,163.26792612389318,164.2064152909973,166.8601856802395,166.8601856802395,-3.133443463555062,-3.133443463555062,-3.133443463555062,-3.133443463555062,-3.133443463555062,-3.133443463555062,0.0,0.0,0.0,163.72674221668444
1974,2021-12-02 20:46:00,166.85393532337238,163.25113822365265,164.2190690629345,166.85393532337238,166.85393532337238,-3.122119259181956,-3.122119259181956,-3.122119259181956,-3.122119259181956,-3.122119259181956,-3.122119259181956,0.0,0.0,0.0,163.73181606419044
1975,2021-12-02 20:47:00,166.84768496650528,163.2368925683531,164.22837369557053,166.84768496650528,166.84768496650528,-3.110721769379742,-3.110721769379742,-3.110721769379742,-3.110721769379742,-3.110721769379742,-3.110721769379742,0.0,0.0,0.0,163.73696319712553
1976,2021-12-02 20:48:00,166.84143460963816,163.2500440632976,164.2400209178674,166.84143460963816,166.84143460963816,-3.099253330140822,-3.099253330140822,-3.099253330140822,-3.099253330140822,-3.099253330140822,-3.099253330140822,0.0,0.0,0.0,163.74218127949734
1977,2021-12-02 20:49:00,166.83518425277103,163.29800552312787,164.24856372097983,166.83518425277103,166.83518425277103,-3.087716298883299,-3.087716298883299,-3.087716298883299,-3.087716298883299,-3.087716298883299,-3.087716298883299,0.0,0.0,0.0,163.74746795388774
1978,2021-12-02 20:50:00,166.8289338959039,163.27908163479336,164.23111155099562,166.8289338959039,166.8289338959039,-3.0761130540827133,-3.0761130540827133,-3.0761130540827133,-3.0761130540827133,-3.0761130540827133,-3.0761130540827133,0.0,0.0,0.0,163.75282084182118
1979,2021-12-02 20:51:00,166.8226835390368,163.2579205674432,164.2614215561428,166.8226835390368,166.8226835390368,-3.0644459940349464,-3.0644459940349464,-3.0644459940349464,-3.0644459940349464,-3.0644459940349464,-3.0644459940349464,0.0,0.0,0.0,163.75823754500186
1980,2021-12-02 20:52:00,166.81643318216967,163.2226367367317,164.24205758098157,166.81643318216967,166.81643318216967,-3.052717536944843,-3.052717536944843,-3.052717536944843,-3.052717536944843,-3.052717536944843,-3.052717536944843,0.0,0.0,0.0,163.76371564522483
1981,2021-12-02 20:53:00,166.81018282530255,163.28916368966964,164.26860473632902,166.81018282530255,166.81018282530255,-3.0409301196711804,-3.0409301196711804,-3.0409301196711804,-3.0409301196711804,-3.0409301196711804,-3.0409301196711804,0.0,0.0,0.0,163.76925270563137
1982,2021-12-02 20:54:00,166.80393246843542,163.3020202964783,164.24660394301785,166.80393246843542,166.80393246843542,-3.029086197352663,-3.029086197352663,-3.029086197352663,-3.029086197352663,-3.029086197352663,-3.029086197352663,0.0,0.0,0.0,163.77484627108277
1983,2021-12-02 20:55:00,166.7976821115683,163.2925523382758,164.2681600459112,166.7976821115683,166.7976821115683,-3.017188243012329,-3.017188243012329,-3.017188243012329,-3.017188243012329,-3.017188243012329,-3.017188243012329,0.0,0.0,0.0,163.78049386855596
1984,2021-12-02 20:56:00,166.7914317547012,163.32460823980355,164.29855840354,166.7914317547012,166.7914317547012,-3.0052387463794616,-3.0052387463794616,-3.0052387463794616,-3.0052387463794616,-3.0052387463794616,-3.0052387463794616,0.0,0.0,0.0,163.78619300832173
1985,2021-12-02 20:57:00,166.78518139783407,163.30653812665872,164.2457033463179,166.78518139783407,166.78518139783407,-2.9932402134837437,-2.9932402134837437,-2.9932402134837437,-2.9932402134837437,-2.9932402134837437,-2.9932402134837437,0.0,0.0,0.0,163.79194118435032
1986,2021-12-02 20:58:00,166.77893104096694,163.2658303841712,164.2711235219331,166.77893104096694,166.77893104096694,-2.981195166227459,-2.981195166227459,-2.981195166227459,-2.981195166227459,-2.981195166227459,-2.981195166227459,0.0,0.0,0.0,163.7977358747395
1987,2021-12-02 20:59:00,166.7726806840998,163.29604791338394,164.28798714859101,166.7726806840998,166.7726806840998,-2.9691061411146293,-2.9691061411146293,-2.9691061411146293,-2.9691061411146293,-2.9691061411146293,-2.9691061411146293,0.0,0.0,0.0,163.8035745429852
1988,2021-12-02 21:00:00,166.76643032723268,163.3134812346209,164.25989176370462,166.76643032723268,166.76643032723268,-2.9569756892246373,-2.9569756892246373,-2.9569756892246373,-2.9569756892246373,-2.9569756892246373,-2.9569756892246373,0.0,0.0,0.0,163.80945463800805
1989,2021-12-02 21:01:00,166.76017997036558,163.28758427324766,164.2995447224343,166.76017997036558,166.76017997036558,-2.9448063749500197,-2.9448063749500197,-2.9448063749500197,-2.9448063749500197,-2.9448063749500197,-2.9448063749500197,0.0,0.0,0.0,163.81537359541556
1990,2021-12-02 21:02:00,166.75392961349846,163.33001094709957,164.34998047559085,166.75392961349846,166.75392961349846,-2.9326007754560575,-2.9326007754560575,-2.9326007754560575,-2.9326007754560575,-2.9326007754560575,-2.9326007754560575,0.0,0.0,0.0,163.8213288380424
1991,2021-12-02 21:03:00,166.74767925663133,163.36609851441287,164.29495062644708,166.74767925663133,166.74767925663133,-2.920361480370414,-2.920361480370414,-2.920361480370414,-2.920361480370414,-2.920361480370414,-2.920361480370414,0.0,0.0,0.0,163.8273177762609
1992,2021-12-02 21:04:00,166.7414288997642,163.33392285034517,164.31500179976297,166.7414288997642,166.7414288997642,-2.9080910903654087,-2.9080910903654087,-2.9080910903654087,-2.9080910903654087,-2.9080910903654087,-2.9080910903654087,0.0,0.0,0.0,163.83333780939878
1993,2021-12-02 21:05:00,166.73517854289707,163.3399054882871,164.34192804127747,166.73517854289707,166.73517854289707,-2.8957922169990096,-2.8957922169990096,-2.8957922169990096,-2.8957922169990096,-2.8957922169990096,-2.8957922169990096,0.0,0.0,0.0,163.83938632589806
