,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
375,2020-12-23 21:00:00,130.76164049087495,127.92609582493057,134.0670671618121,130.76164049087495,130.76164049087495,0.21584182672961716,0.21584182672961716,0.21584182672961716,0.07982056281098891,0.07982056281098891,0.07982056281098891,0.13602126391862823,0.13602126391862823,0.13602126391862823,0.0,0.0,0.0,130.97748231760457
376,2020-12-23 22:00:00,130.78675960158816,128.2093192374236,133.92461358396451,130.78675960158816,130.78675960158816,0.20153096066675,0.20153096066675,0.20153096066675,0.0743173749623544,0.0743173749623544,0.0743173749623544,0.12721358570439567,0.12721358570439567,0.12721358570439567,0.0,0.0,0.0,130.98829056225492
377,2020-12-23 23:00:00,130.8118787123014,128.07944250047936,133.98206960479473,130.8118787123014,130.8118787123014,0.2126696008667943,0.2126696008667943,0.2126696008667943,0.09359398039744059,0.09359398039744059,0.09359398039744059,0.1190756204693537,0.1190756204693537,0.1190756204693537,0.0,0.0,0.0,131.0245483131682
378,2020-12-24 00:00:00,130.8369978230146,128.04081353982423,133.96075243301678,130.8369978230146,130.8369978230146,0.20260269604683115,0.20260269604683115,0.20260269604683115,0.09093199533117978,0.09093199533117978,0.09093199533117978,0.11167070071565138,0.11167070071565138,0.11167070071565138,0.0,0.0,0.0,131.03960051906142
379,2020-12-24 09:00:00,131.0630698194336,128.09015380203238,134.2455792993975,131.0630698194336,131.0630698194336,0.11852682595504924,0.11852682595504924,0.11852682595504924,0.03526202102954346,0.03526202102954346,0.03526202102954346,0.08326480492550578,0.08326480492550578,0.08326480492550578,0.0,0.0,0.0,131.18159664538865
380,2020-12-24 10:00:00,131.0881889301468,128.05063919584885,134.0269463590748,131.0881889301468,131.0881889301468,0.11081281912575393,0.11081281912575393,0.11081281912575393,0.026492014216783787,0.026492014216783787,0.026492014216783787,0.08432080490897016,0.08432080490897016,0.08432080490897016,0.0,0.0,0.0,131.19900174927255
381,2020-12-24 11:00:00,131.11330804086003,128.5146555016678,134.05710895746967,131.11330804086003,131.11330804086003,0.11964287759255592,0.11964287759255592,0.11964287759255592,0.03355475665675745,0.03355475665675745,0.03355475665675745,0.08608812093579848,0.08608812093579848,0.08608812093579848,0.0,0.0,0.0,131.2329509184526
382,2020-12-24 12:00:00,131.13842715157327,128.37831515347565,134.17131296635432,131.13842715157327,131.13842715157327,0.15444511265467264,0.15444511265467264,0.15444511265467264,0.06594547364890203,0.06594547364890203,0.06594547364890203,0.08849963900577063,0.08849963900577063,0.08849963900577063,0.0,0.0,0.0,131.29287226422795
383,2020-12-24 13:00:00,131.1635462622865,128.58445009508958,134.18227911345917,131.1635462622865,131.1635462622865,0.19119903093813864,0.19119903093813864,0.19119903093813864,0.0997196751098994,0.0997196751098994,0.0997196751098994,0.09147935582823921,0.09147935582823921,0.09147935582823921,0.0,0.0,0.0,131.35474529322465
384,2020-12-24 14:00:00,131.1886653729997,128.53537308860925,134.4691344619662,131.1886653729997,131.1886653729997,0.20661869179758685,0.20661869179758685,0.20661869179758685,0.11167545056878042,0.11167545056878042,0.11167545056878042,0.0949432412288064,0.0949432412288064,0.0949432412288064,0.0,0.0,0.0,131.3952840647973
385,2020-12-24 15:00:00,131.21378448371294,128.5681674710906,134.47779032851676,131.21378448371294,131.21378448371294,0.204826612577892,0.204826612577892,0.204826612577892,0.10602641806659109,0.10602641806659109,0.10602641806659109,0.09880019451130094,0.09880019451130094,0.09880019451130094,0.0,0.0,0.0,131.41861109629085
386,2020-12-24 16:00:00,131.23890359442615,128.44896815295382,134.73136812964293,131.23890359442615,131.23890359442615,0.20933019849770798,0.20933019849770798,0.20933019849770798,0.10637711468061127,0.10637711468061127,0.10637711468061127,0.1029530838170967,0.1029530838170967,0.1029530838170967,0.0,0.0,0.0,131.44823379292384
387,2020-12-24 17:00:00,131.26402270513938,128.4495380717278,134.560617340881,131.26402270513938,131.26402270513938,0.23248576677793958,0.23248576677793958,0.23248576677793958,0.12518591025905806,0.12518591025905806,0.12518591025905806,0.10729985651888152,0.10729985651888152,0.10729985651888152,0.0,0.0,0.0,131.4965084719173
388,2020-12-24 18:00:00,131.2891418158526,128.54471152141872,134.51285296271854,131.2891418158526,131.2891418158526,0.25863491872397937,0.25863491872397937,0.25863491872397937,0.14690021086980745,0.14690021086980745,0.14690021086980745,0.11173470785417192,0.11173470785417192,0.11173470785417192,0.0,0.0,0.0,131.54777673457656
389,2020-12-24 21:00:00,131.36449914799226,128.2221614712308,134.44570166779525,131.36449914799226,131.36449914799226,0.20429964769389924,0.20429964769389924,0.20429964769389924,0.0798205628112173,0.0798205628112173,0.0798205628112173,0.12447908488268192,0.12447908488268192,0.12447908488268192,0.0,0.0,0.0,131.56879879568615
390,2020-12-28 09:00:00,133.47450444790286,130.46788928189255,136.32728274976972,133.47450444790286,133.47450444790286,-0.07574596952975467,-0.07574596952975467,-0.07574596952975467,0.03526202103011828,0.03526202103011828,0.03526202103011828,-0.11100799055987294,-0.11100799055987294,-0.11100799055987294,0.0,0.0,0.0,133.3987584783731
391,2020-12-28 10:00:00,133.49962355861607,130.45196878083237,136.58689743987148,133.49962355861607,133.49962355861607,-0.07495794976379917,-0.07495794976379917,-0.07495794976379917,0.026492014215002732,0.026492014215002732,0.026492014215002732,-0.1014499639788019,-0.1014499639788019,-0.1014499639788019,0.0,0.0,0.0,133.42466560885228
392,2020-12-28 11:00:00,133.5247426693293,130.3745557069513,136.51721677609845,133.5247426693293,133.5247426693293,-0.058032655219627347,-0.058032655219627347,-0.058032655219627347,0.03355475665782664,0.03355475665782664,0.03355475665782664,-0.09158741187745399,-0.09158741187745399,-0.09158741187745399,0.0,0.0,0.0,133.46671001410968
393,2020-12-28 12:00:00,133.5498617800425,130.5133161923104,136.64231186754537,133.5498617800425,133.5498617800425,-0.015445882739570864,-0.015445882739570864,-0.015445882739570864,0.06594547364946052,0.06594547364946052,0.06594547364946052,-0.08139135638903136,-0.08139135638903136,-0.08139135638903136,0.0,0.0,0.0,133.53441589730292
